file_name,eng_statement,jpn_statement
bangasa57.jpg,"""It is a kind of Japanese umbrella and it is called a 'Ban gasa (kasa)'. After getting wet, wipe off the moisture with a towel with a soft cloth, and be sure to shade and dry. If left wet, it can cause bone rust and discoloration.""",これは日本の和傘の一種で「番傘」と呼ばれています。 濡れた後は、柔らかい布でタオルで湿気を拭き取ってから、陰干しをして乾かします。 濡れたままにしておくと、骨の錆や変色の原因になります。
maiko_maikosan39.jpg,"""These women dancing with such elegance are maiko entertainers who perform traditional Japanese music and dances at exclusive parties. Please refrain from stopping them and coercing them into taking pictures with you.""",舞妓は、日本の伝統的な唄や踊りを披露して宴席に興を添える仕事です。声かけや一緒に写真を撮るように強制することは控えてください。
cherryblossom_sakura8.jpg,"""Don't sit at the root of the cherry blossoms that jumped out of the ground. Please do not break the branches.""",地面から飛び出した桜の根元に座ってはいけません。枝は折らないでください。
sushi_nigirisushi69cp.jpg,"""Wasabi is used in sushi. Wasabi is spicy. If you do not like spicy food, sushi without wasabi can be ordered.In Japanese culture, sushi can be eaten by hand.""",寿司にはわさびが入っています。辛い食べ物が好きではない場合は、わさびのない寿司を用意することができます。日本にはお寿司を手で食べる文化があります。
syogi_syogi26.jpg,"""Shogi is a board game like chess. The object of the game is to checkmate the opponent’s King. The main difference with chess is that you can use the pieces that you capture.""",将棋はチェスのようなボードゲームです。王を積ませたら勝ちです。チェスとの主な違いは取った駒を使用することができるということです。
maple_kouyou48.jpg,"""It is a violation of manners to tear the leaves of the maple from the branches. In addition, Please do not enter the restricted area as the cleaned moss will peel off.""",枝からもみじの葉っぱをちぎり取るのはマナー違反です。また、手入れさた苔が剥げるため、立ち入り禁止エリアに入るのは控えてください。
gundam_odaiba-gundam64.jpg,"""The main attraction the Unicorn Gundam is the four transformations performance that takes place at 11:00, 13:00, 15:00, and 17:00. In the night section, the show will be held in three stories every half hour from 19: 30 to 21:00.""",ユニコーンガンダムの最大の魅力は、11：00、13：00、15：00、17：00の4つの変身演出です。 夜のセクションでは、ショーは19：30から21:00まで30分ごとに３つのストーリーで開催されます。
windchime12.jpg,"""Furin is a kind of small bell that is hung under the eaves in summer in Japan. When the wind blew, they ring. Some of the famous Japanese Furins are 'Edo-Furin' from Tokyo and 'Nambu-Furin' from Iwate prefecture.""",風鈴とは日本の夏に家の軒下に吊り下げてられている小型の鈴の一種です。風が吹くと音が鳴ります。日本の有名な風鈴の中には、東京の「江戸風林」や岩手県の「南部風林」があります。
hachiko_hatikou30.jpg,"""It is a famous spot not only as a meeting place in Shibuya but also as a tourist attraction. To take a photo with Hachiko, you have to wait in line.""",渋谷の待ち合わせ場所としてだけでなく、観光の名所としても有名なスポットです。 ハチ公と一緒に写真を撮るには、列に並ぶ必要があります。
kaminarimon_kaminarimon10.jpg,"""The official name is Furaijin-mon written in Chinese characters on the back of the large lantern. You can buy various kinds of Japanese gifts at Nakadori-dori ahead of the Kaminarimon.""",雷門とは正式名称ではなく、風雷神門というのが正式名称で大提灯の裏に漢字で書かれています。雷門より先の中通りでは、さまざまな日本のおみやげを買うことができます。
atombombdome_hiroshima-dome67.jpg,"""In the atomic bomb dome, you can find out the reality of the damage caused by the atomic bomb. Trolley and circulation bus are recommended from here to visit other tourist destinations. Every 30 minutes via A-bomb Dome and Peace Memorial Park.""",原爆ドームでは原子爆弾による被害の実相を知ることができます。ここから他の観光地巡りは路面電車や循環バスがオススメです。30分間隔で原爆ドーム、平和記念公園を経由しています。
jinja_jinja31.jpg,"""When you enter a shrine, you need to purify your hands and mouth before you worship.Remove hats and sunglasses in shrines and temples.""",神社に入ったら、参拝する前に手と口を清めます。神社や寺院では帽子やサングラスを外します。
